Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-17.2739,0,0,0,0,0,0,0
0.02,-14.3618,0,0,0,0,0,0,0
0.04,-11.4432,0,0,0,0,0,0,0
0.06,-8.53623,0,0,0,0,0,0,0
0.08,-5.54967,0,0,0,0,0,0,0
0.1,-2.53809,0,0,0,0,0,0,0
0.12,0.488243,0,0,0,0,0,0,0
0.14,3.53319,0,0,0,0,0,0,0
0.16,6.58647,0,0,0,0,0,0,0
0.18,9.63783,0,0,0,0,0,0,0
0.2,12.7681,0,0,0,0,0,0,0
0.22,15.9234,0,0,0,0,0,0,0
0.24,19.0883,0,0,0,0,0,0,0
0.26,22.3001,0,0,0,0,0,0,0
0.28,25.5875,0,0,0,0,0,0,0
0.3,28.9257,0,0,0,0,0,0,0
0.32,32.2715,0,0,0,0,0,0,0
0.34,35.6847,0,0,0,0,0,0,0
0.36,39.1897,0,0,0,0,0,0,0
0.38,42.7396,0,0,0,0,0,0,0
0.4,46.3799,0,0,0,0,0,0,0
0.42,50.0728,0,0,0,0,0,0,0
0.44,53.9306,0,0,0,0,0,0,0
0.46,57.8552,0,0,0,0,0,0,0
0.48,62.0338,0,0,0,0,0,0,0
0.5,64.1626,0,0,0,0,0,0,0
0.52,64.1626,0,0,0,0,0,0,0
0.54,64.1626,0,0,0,0,0,0,0
0.56,64.1626,0,0,0,0,0,0,0
0.58,64.1626,0,0,0,0,0,0,0
0.6,64.1626,0,0,0,0,0,0,0
0.62,64.1626,0,0,0,0,0,0,0
0.64,64.1626,0,0,0,0,0,0,0
0.66,64.1626,0,0,0,0,0,0,0
0.68,64.1626,0,0,0,0,0,0,0
0.7,64.1626,0,0,0,0,0,0,0
0.72,64.1626,0,0,0,0,0,0,0
0.74,64.1626,0,0,0,0,0,0,0
0.76,64.1626,0,0,0,0,0,0,0
0.78,64.1626,0,0,0,0,0,0,0
0.8,64.1626,0,0,0,0,0,0,0
0.82,64.1626,0,0,0,0,0,0,0
0.84,64.1632,0,0,0,0,0,0,0
0.86,64.1632,0,0,0,0,0,0,0
0.88,64.1632,0,0,0,0,0,0,0
0.9,64.1632,0,0,0,0,0,0,0
0.92,64.1632,0,0,0,0,0,0,0
0.94,64.1632,0,0,0,0,0,0,0
0.96,64.1632,0,0,0,0,0,0,0
