Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
1.16,47.6195,22.4144,18.5497,17.8351,16.7188,394.338,17.4545,15.222
1.14,40.926,16.5455,13.1586,12.7949,10.7822,387.729,12.3467,10.3298
1.12,34.2748,10.7569,7.83932,7.81818,5.03171,380.698,7.38689,5.54757
1.1,28.7611,5.53911,3.00211,3.27273,-0.0972516,373.911,2.926,1.23044
1.08,22.3763,0.511628,-1.66173,-1.04863,-4.81607,367.011,-1.24313,-2.86258
1.06,16.5539,-4.00846,-5.88161,-4.93869,-8.93023,360.063,-4.93023,-6.49471
1.04,11.1163,-8.01691,-9.63636,-8.37632,-12.4186,353.087,-8.11416,-9.63214
1.02,6.08034,-11.4249,-12.8837,-11.2981,-15.2262,346.233,-10.8288,-12.2579
1,1.41226,-14.2706,-15.5433,-13.704,-17.3953,339.277,-13.0867,-14.3552
0.98,-2.81607,-16.5243,-17.6575,-15.5603,-19.0529,332.338,-14.9218,-15.9831
0.96,-6.60042,-18.2622,-19.2389,-16.9725,-20.2114,325.429,-16.4313,-17.2347
0.94,-9.91121,-19.5307,-20.3763,-17.9789,-21.0825,318.52,-17.5941,-18.148
0.92,-12.7738,-20.4271,-21.167,-18.6681,-21.6871,311.603,-18.5962,-18.8034
0.9,-15.1247,-21.0994,-21.7209,-19.1543,-22.0846,304.723,-19.3869,-19.2981
0.88,-17.0275,-21.5391,-22.0973,-19.5687,-22.3552,297.831,-20.0211,-19.6913
0.86,-18.5412,-21.8901,-22.3721,-19.8097,-22.5962,290.909,-20.5116,-19.9323
0.84,-19.7209,-22.1268,-22.5877,-20.0338,-22.7907,284,-20.8795,-20.0761
0.82,-20.6089,-22.3256,-22.7442,-20.1945,-22.9429,277.154,-21.1755,-20.2579
0.8,-21.3404,-22.4736,-22.8457,-20.3383,-23.0402,270.241,-21.3658,-20.3679
0.78,-21.7844,-22.592,-22.9556,-20.3848,-23.0317,263.323,-21.5814,-20.4609
0.76,-22.1945,-22.6512,-23.019,-20.4397,-23.1332,256.372,-21.7717,-20.5074
0.74,-22.5201,-22.6934,-23.0613,-20.4905,-23.2262,249.455,-21.8816,-20.5581
0.72,-22.7611,-22.7484,-23.1205,-20.5455,-23.26,242.562,-21.9704,-20.6004
0.7,-22.9683,-22.833,-23.1712,-20.5877,-23.2812,235.67,-22.0211,-20.6385
0.68,-23.0951,-22.7653,-23.1628,-20.6004,-23.3066,228.748,-22.0592,-20.6342
0.66,-23.1924,-22.8203,-23.1374,-20.6089,-23.315,221.805,-22.1395,-20.6681
0.64,-23.2854,-22.871,-23.1924,-20.6173,-23.3192,214.913,-22.2368,-20.6808
0.62,-23.3658,-22.8753,-23.1839,-20.6512,-23.3488,208.047,-22.2748,-20.6638
0.6,-23.4461,-22.9133,-23.1543,-20.6681,-23.3658,201.159,-22.3129,-20.6596
0.58,-23.5011,-22.9302,-23.1882,-20.6681,-23.3573,194.245,-22.334,-20.6512
0.56,-23.5856,-22.9006,-23.1924,-20.6765,-23.3362,187.34,-22.3467,-20.7357
0.54,-23.5772,-22.9006,-23.167,-20.6512,-23.3488,180.457,-22.3763,-20.7315
0.52,-23.649,-22.9218,-23.1966,-20.6512,-23.3573,173.539,-22.4355,-20.7104
0.5,-23.666,-22.9471,-23.167,-20.6681,-23.3023,166.643,-22.4186,-20.7146
0.48,-23.6575,-22.9767,-23.1712,-20.6808,-23.3108,159.742,-22.4228,-20.7061
0.46,-23.649,-22.9471,-23.2093,-20.7146,-23.3953,152.841,-22.4313,-20.7526
0.44,-23.6998,-22.9006,-23.2304,-20.7104,-23.3953,145.962,-22.4482,-20.7611
0.42,-23.666,-22.9302,-23.1966,-20.6977,-23.4123,139.049,-22.4736,-20.723
0.4,-23.6321,-22.9514,-23.222,-20.6808,-23.4123,132.144,-22.482,-20.7611
0.38,-23.611,-22.9471,-23.222,-20.6512,-23.3742,125.268,-22.4736,-20.7146
0.36,-23.6321,-22.9175,-23.2093,-20.6892,-23.3446,118.372,-22.4778,-20.7442
0.34,-23.6533,-22.9345,-23.1966,-20.6765,-23.3658,111.476,-22.4905,-20.8034
0.32,-23.649,-22.8753,-23.222,-20.6596,-23.4123,104.562,-22.5032,-20.7653
0.3,-23.6913,-22.9006,-23.222,-20.6892,-23.408,97.6871,-22.5243,-20.7188
0.28,-23.6829,-22.9471,-23.277,-20.6892,-23.3911,90.7865,-22.4947,-20.7653
0.26,-23.6829,-22.9514,-23.2981,-20.6892,-23.3953,83.9197,-22.4989,-20.7442
0.24,-23.7252,-22.9598,-23.3066,-20.7188,-23.4038,77.0359,-22.5285,-20.74
0.22,-23.7421,-22.9641,-23.2727,-20.7273,-23.4545,70.1691,-22.5455,-20.7822
0.2,-23.7801,-22.9852,-23.2431,-20.7019,-23.4123,63.277,-22.5455,-20.778
0.18,-23.7759,-23.019,-23.2431,-20.7146,-23.3953,56.389,-22.5455,-20.7738
0.16,-23.7632,-22.9937,-23.2431,-20.7188,-23.4588,49.5053,-22.537,-20.7273
0.14,-23.7421,-22.9937,-23.2051,-20.723,-23.4207,42.63,-22.5412,-20.7569
0.12,-23.7717,-22.9852,-23.1966,-20.7315,-23.3742,35.759,-22.5455,-20.8245
0.1,-23.759,-22.9979,-23.2474,-20.7442,-23.3531,28.871,-22.5624,-20.8288
0.08,-23.7886,-23.0063,-23.2178,-20.7188,-23.3742,21.9915,-22.5666,-20.7992
