Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-22.6342,-22.4905,-23.0359,-19.2178,-21.4376,-21.7928,-22.2875,-18.3721
0.02,-22.6342,-22.4567,-23.0317,-19.1755,-21.4123,-21.759,-22.3214,-18.3763
0.04,-22.6089,-22.4863,-23.0275,-19.1755,-21.408,-21.6871,-22.2368,-18.3679
0.06,-22.6173,-22.4651,-23.0571,-19.167,-21.3531,-21.666,-22.2156,-18.3552
0.08,-22.6131,-22.4228,-23.0698,-19.2389,-21.3742,-21.7421,-22.1734,-18.3552
0.1,-22.6089,-22.4186,-23.074,-19.2643,-21.3784,-21.7167,-22.186,-18.334
0.12,-22.6047,-22.4101,-23.074,-19.2431,-21.3615,-21.7125,-22.2156,-18.3383
0.14,-22.6089,-22.4186,-23.0148,-19.222,-21.3531,-21.6998,-22.2199,-18.3552
0.16,-22.5962,-22.4186,-22.9852,-19.2051,-21.3784,-21.7167,-22.1987,-18.3425
0.18,-22.5243,-22.3975,-22.9852,-19.1882,-21.3573,-21.704,-22.1945,-18.3636
0.2,-22.5666,-22.3848,-22.9894,-19.2051,-21.315,-21.666,-22.2495,-18.3636
0.22,-22.5455,-22.3932,-22.9937,-19.1797,-21.3192,-21.6829,-22.2579,-18.3171
0.24,-22.5751,-22.3679,-23.0106,-19.1924,-21.3235,-21.7167,-22.2241,-18.3002
0.26,-22.5835,-22.389,-23.0106,-19.1586,-21.315,-21.6998,-22.1945,-18.334
0.28,-22.6131,-22.3552,-22.9979,-19.1628,-21.2939,-21.6786,-22.2199,-18.2875
0.3,-22.5835,-22.3298,-23.0148,-19.1628,-21.2939,-21.6279,-22.2537,-18.2622
0.32,-22.5624,-22.3975,-23.0063,-19.2008,-21.3192,-21.6195,-22.2072,-18.3129
0.34,-22.6004,-22.3594,-22.9852,-19.1924,-21.3108,-21.6321,-22.1945,-18.3171
0.36,-22.6047,-22.3383,-23.0148,-19.1416,-21.3023,-21.6321,-22.2241,-18.3214
0.38,-22.592,-22.3087,-22.9979,-19.1459,-21.2854,-21.6617,-22.2241,-18.3171
0.4,-22.5962,-22.3467,-23.0021,-19.1416,-21.3235,-21.6913,-22.1649,-18.334
0.42,-22.592,-22.351,-22.9641,-19.1924,-21.2981,-21.666,-22.1142,-18.3594
0.44,-22.6047,-22.3425,-22.9175,-19.1797,-21.2516,-21.6617,-22.1649,-18.3383
0.46,-22.5751,-22.3256,-23.0021,-19.1628,-21.2812,-21.611,-22.1776,-18.334
0.48,-22.5074,-22.334,-22.981,-19.1924,-21.3066,-21.5941,-22.1353,-18.3171
0.5,-22.4905,-22.3679,-22.9767,-19.1459,-21.2981,-21.5856,-22.1099,-18.3256
0.52,-22.5285,-22.3298,-22.9429,-19.1374,-21.2431,-21.5645,-22.1226,-18.3425
0.54,-22.5116,-22.2622,-22.9556,-19.1501,-21.2389,-21.5391,-22.1057,-18.3214
0.56,-22.4524,-22.2664,-22.9641,-19.0994,-21.2516,-21.5941,-22.1184,-18.3002
0.58,-22.4271,-22.2156,-22.9006,-19.167,-21.2643,-21.5941,-22.1353,-18.2833
0.6,-22.3975,-22.1691,-22.9429,-19.1205,-21.2558,-21.5983,-22.1268,-18.2918
0.62,-22.3002,-22.148,-22.9894,-19.0994,-21.2135,-21.5433,-22.0846,-18.2706
0.64,-22.241,-22.1226,-22.9429,-19.0825,-21.2262,-21.5391,-22.0761,-18.2664
0.66,-22.1353,-22.1142,-22.8753,-19.0951,-21.1755,-21.4672,-22.0254,-18.2114
0.68,-22,-22.0381,-22.8795,-19.0571,-21.1543,-21.4292,-22.0085,-18.2241
0.7,-21.7928,-21.945,-22.7653,-19.0021,-21.0655,-21.4715,-22.0465,-18.2072
0.72,-21.4461,-21.814,-22.7738,-18.9683,-21.0486,-21.4884,-22.0042,-18.1649
0.74,-20.9979,-21.6956,-22.6892,-18.9598,-21.0571,-21.463,-21.9662,-18.1353
0.76,-20.3975,-21.5476,-22.5835,-18.8288,-20.9767,-21.3784,-21.852,-18.1015
0.78,-19.5814,-21.3108,-22.5032,-18.833,-20.926,-21.3362,-21.7378,-18.0507
0.8,-18.4524,-21.0613,-22.3383,-18.6977,-20.8288,-21.2981,-21.6617,-17.9535
0.82,-17.0063,-20.7315,-22.1564,-18.5962,-20.7484,-21.1797,-21.5433,-17.8732
0.84,-15.1797,-20.2579,-21.8732,-18.4609,-20.6427,-20.9979,-21.4249,-17.7674
0.86,-13.0571,-19.6195,-21.5645,-18.2622,-20.4567,-20.8161,-21.2727,-17.6195
0.88,-10.6131,-18.8161,-21.0698,-18,-20.1691,-20.6216,-21.0106,-17.408
0.9,-7.86469,-17.6829,-20.3256,-17.5899,-19.8309,-20.2791,-20.5962,-17.1121
0.92,-4.85835,-16.2706,-19.2939,-16.981,-19.3192,-19.8182,-20.0677,-16.6512
0.94,-1.61522,-14.5243,-17.8901,-16,-18.5624,-19.1205,-19.2727,-16.0381
0.96,1.81818,-12.3975,-16.0127,-14.6173,-17.4884,-18.1522,-18.1099,-15.1924
0.98,5.42918,-9.84355,-13.6364,-12.7104,-15.9366,-16.7484,-16.6512,-13.9323
1,9.18393,-6.84989,-10.7273,-10.2241,-13.8689,-14.9091,-14.6385,-12.1945
1.02,13.1078,-3.463,-7.37844,-7.13742,-11.1121,-12.4228,-12.1987,-9.86469
1.04,17.1332,0.30444,-3.60677,-3.47569,-7.70402,-9.37421,-9.17548,-6.86258
1.06,21.2685,4.42706,0.553911,0.731501,-3.60254,-5.63636,-5.65751,-3.18393
