Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
1.08,25.5222,8.88795,5.0444,5.39958,1.0148,-1.3277,-1.66596,1.13319
1.1,29.8478,13.6068,9.79704,10.4524,6.13953,3.50529,2.73573,6.03383
1.12,34.6004,18.723,14.7653,15.7548,11.611,8.71036,7.37844,11.3192
1.14,38.8626,23.797,19.9535,21.4503,17.6025,14.4313,12.4397,17.2178
1.16,43.2727,29.0148,25.1797,27.2135,23.7294,20.3087,17.5899,23.2727
1.18,47.9831,34.63,30.7611,33.4123,30.3425,26.685,23.1459,29.8605
1.2,52.7569,40.4144,36.4651,39.8309,37.2051,33.2981,28.8922,36.7146
1.2,52.2368,40.0803,36.3383,39.7336,37.0909,33.1839,28.8203,36.6004
1.18,46.4609,33.6998,30.3594,33.1586,30.0634,26.4017,22.9302,29.5518
1.16,40.8626,27.5772,24.5666,26.8161,23.315,19.8943,17.2812,22.8161
1.14,35.5772,21.8732,19.1501,20.9091,17.0825,13.9154,12.0381,16.63
1.12,30.2622,16.241,13.7421,15.0613,10.9937,8.06342,6.86258,10.6385
1.1,25.7252,11.2896,8.80338,9.69556,5.42495,2.83298,2.17336,5.23467
1.08,20.4101,6.12262,3.86469,4.5074,0.173362,-2.12262,-2.30021,0.262156
1.06,15.556,1.51374,-0.680761,-0.181818,-4.45243,-6.45243,-6.32558,-4.05074
1.04,10.9302,-2.66808,-4.84144,-4.34672,-8.49471,-10.1438,-9.84355,-7.67442
1.02,6.537,-6.35941,-8.52854,-7.91543,-11.8351,-13.1374,-12.8034,-10.5412
1,2.37632,-9.58562,-11.7844,-10.9218,-14.4989,-15.4926,-15.2262,-12.7526
0.98,-1.53066,-12.3256,-14.5581,-13.3488,-16.4863,-17.2558,-17.1205,-14.3087
0.96,-5.15856,-14.537,-16.7653,-15.0951,-17.9366,-18.4693,-18.5074,-15.4461
0.94,-8.46089,-16.3298,-18.4989,-16.3002,-18.8922,-19.3531,-19.4757,-16.2452
0.92,-11.3742,-17.7167,-19.759,-17.1501,-19.5349,-19.9746,-20.2072,-16.8034
0.9,-13.8985,-18.7949,-20.6216,-17.7252,-19.9323,-20.4228,-20.7104,-17.2135
0.88,-16,-19.6533,-21.2304,-18.0634,-20.2748,-20.6342,-21.0698,-17.5011
0.86,-17.7082,-20.296,-21.666,-18.3467,-20.5285,-20.8795,-21.3362,-17.666
0.84,-19.0529,-20.7188,-21.9831,-18.5666,-20.6638,-21.0655,-21.5137,-17.8224
0.82,-20.0254,-21.0444,-22.2368,-18.7188,-20.8203,-21.1797,-21.6617,-17.9493
0.8,-20.6765,-21.2685,-22.3932,-18.8161,-20.9218,-21.2474,-21.7548,-18.0592
0.78,-21.2093,-21.5391,-22.5074,-18.8879,-20.9937,-21.2854,-21.8393,-18.0846
0.76,-21.5645,-21.6871,-22.6258,-18.9556,-21.019,-21.3911,-21.9112,-18.1015
0.74,-21.8393,-21.7421,-22.7104,-19.0148,-21.0233,-21.4038,-21.945,-18.1564
0.72,-22.0296,-21.8436,-22.7696,-19.0486,-21.0867,-21.4588,-21.9873,-18.1607
0.7,-22.1226,-21.9323,-22.8288,-19.0444,-21.1755,-21.5095,-22.0042,-18.1818
0.68,-22.2452,-22.0127,-22.8668,-19.0571,-21.2008,-21.5391,-22.0296,-18.203
0.66,-22.3425,-22.0888,-22.926,-19.1163,-21.2008,-21.518,-22.0973,-18.2368
0.64,-22.4059,-22.1776,-22.9641,-19.1586,-21.1966,-21.5476,-22.0973,-18.2706
0.62,-22.4397,-22.2156,-22.981,-19.129,-21.2474,-21.5391,-22.1184,-18.2706
0.6,-22.4524,-22.2537,-22.9387,-19.1501,-21.3192,-21.5729,-22.1691,-18.3002
0.58,-22.4863,-22.2706,-22.9175,-19.1543,-21.2812,-21.611,-22.1818,-18.3256
0.56,-22.5159,-22.2664,-22.9471,-19.1078,-21.315,-21.6321,-22.186,-18.334
0.54,-22.5285,-22.3298,-22.981,-19.1459,-21.315,-21.6237,-22.1818,-18.3425
0.52,-22.5074,-22.2748,-22.9556,-19.1755,-21.3066,-21.6533,-22.1945,-18.3552
0.5,-22.5032,-22.3129,-22.9641,-19.1501,-21.2685,-21.7125,-22.186,-18.3383
0.48,-22.5624,-22.351,-23.0106,-19.1332,-21.2474,-21.7082,-22.186,-18.3214
0.46,-22.482,-22.3763,-22.9641,-19.1501,-21.2516,-21.6998,-22.1734,-18.3171
0.44,-22.444,-22.389,-22.9471,-19.1332,-21.2812,-21.6575,-22.1945,-18.3129
0.42,-22.5328,-22.3425,-23.0148,-19.1036,-21.3066,-21.7125,-22.1818,-18.3214
0.4,-22.5285,-22.3721,-23.0233,-19.1078,-21.3192,-21.6575,-22.1987,-18.3087
0.38,-22.592,-22.4059,-23.0063,-19.1036,-21.315,-21.666,-22.2072,-18.3298
0.36,-22.5581,-22.4144,-22.9979,-19.1374,-21.3277,-21.7082,-22.1395,-18.351
0.34,-22.5243,-22.4609,-23.019,-19.1543,-21.3615,-21.6786,-22.2114,-18.351
0.32,-22.5539,-22.4186,-23.0275,-19.167,-21.3446,-21.6617,-22.186,-18.3256
0.3,-22.6004,-22.444,-22.9683,-19.1586,-21.3573,-21.6152,-22.1818,-18.3552
0.28,-22.5962,-22.4355,-22.9725,-19.1797,-21.3446,-21.649,-22.2156,-18.389
0.26,-22.5835,-22.4271,-23.0021,-19.1882,-21.3319,-21.6068,-22.2283,-18.4017
0.24,-22.6173,-22.3975,-23.0275,-19.1755,-21.315,-21.5941,-22.2283,-18.389
0.22,-22.5835,-22.4017,-23.0233,-19.2008,-21.3531,-21.6237,-22.2156,-18.3805
0.2,-22.5962,-22.4271,-23.0148,-19.2135,-21.3911,-21.5856,-22.2368,-18.3721
0.18,-22.5751,-22.4524,-23.0148,-19.2135,-21.3911,-21.6152,-22.2326,-18.3848
0.16,-22.5624,-22.4313,-23.0444,-19.2178,-21.3615,-21.5899,-22.2114,-18.3848
0.14,-22.5624,-22.4609,-23.0613,-19.1966,-21.3658,-21.6237,-22.241,-18.3975
0.12,-22.5159,-22.4736,-23.0825,-19.2178,-21.3742,-21.6575,-22.2326,-18.3975
0.1,-22.5201,-22.4989,-23.1163,-19.2008,-21.3953,-21.7378,-22.1691,-18.4101
0.08,-22.5328,-22.4905,-23.0825,-19.1966,-21.4123,-21.7505,-22.2579,-18.3932
0.06,-22.5835,-22.5074,-23.0444,-19.2135,-21.4334,-21.6575,-22.2664,-18.389
0.04,-22.5877,-22.5159,-23.0529,-19.2135,-21.4419,-21.6068,-22.2622,-18.3805
0.02,-22.5624,-22.5201,-23.0063,-19.1966,-21.37,-21.6025,-22.2706,-18.389
0,-22.5835,-22.4482,-23.0275,-19.222,-21.3911,-21.6279,-22.3044,-18.4101


Parameter,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8
Voc (V),0.949409,1.03838,1.05734,1.05652,1.0756,1.08549,1.08757,1.07475
Jsc (mA/cm^2),-22.6342,-22.4905,-23.0359,-19.2178,-21.4376,-21.7928,-22.2875,-18.3721
FF (%),72.3083,72.8648,76.1409,78.0142,77.4025,77.1524,76.4734,77.9971
Vmpp (V),0.74,0.84,0.86,0.88,0.9,0.9,0.9,0.9
Jmpp (mA/cm^2),-20.9979,-20.2579,-21.5645,-18,-19.8309,-20.2791,-20.5962,-17.1121
Efficiency (%),15.5384,17.0167,18.5455,15.84,17.8478,18.2512,18.5366,15.4008
Voc (V),0.987835,1.05276,1.063,1.06078,1.07925,1.08857,1.09028,1.07878
Jsc (mA/cm^2),-22.5835,-22.4482,-23.0275,-19.222,-21.3911,-21.6279,-22.3044,-18.4101
FF (%),74.1558,73.858,76.3245,78.2368,77.8472,78.0709,76.6477,78.0047
Vmpp (V),0.78,0.86,0.88,0.9,0.92,0.9,0.9,0.9
Jmpp (mA/cm^2),-21.2093,-20.296,-21.2304,-17.7252,-19.5349,-20.4228,-20.7104,-17.2135
Efficiency (%),16.5433,17.4545,18.6828,15.9526,17.9721,18.3805,18.6393,15.4922
