Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-21.4376,-21.9619,-22.3721,-21.2981,-20.5074,-22.8203,-21.7844,-22.1353
0.02,-21.4123,-21.9619,-22.3636,-21.3235,-20.5201,-22.8203,-21.7886,-22.1311
0.04,-21.3996,-21.9323,-22.334,-21.3023,-20.5201,-22.778,-21.7928,-22.1395
0.06,-21.4123,-21.9408,-22.3214,-21.3066,-20.4905,-22.7822,-21.7928,-22.1268
0.08,-21.4292,-21.9027,-22.3214,-21.2685,-20.4693,-22.7696,-21.7632,-22.1268
0.1,-21.3911,-21.9323,-22.2918,-21.3108,-20.4567,-22.7357,-21.7378,-22.1142
0.12,-21.3827,-21.9197,-22.3129,-21.3066,-20.444,-22.7611,-21.6829,-22.1268
0.14,-21.3996,-21.8858,-22.3298,-21.3066,-20.444,-22.7442,-21.666,-22.1015
0.16,-21.3869,-21.8689,-22.3383,-21.3108,-20.4567,-22.7188,-21.6998,-22.1268
0.18,-21.3784,-21.8562,-22.3467,-21.2939,-20.444,-22.74,-21.6956,-22.093
0.2,-21.3742,-21.8901,-22.334,-21.2854,-20.4313,-22.7357,-21.6617,-22.093
0.22,-21.3573,-21.907,-22.3256,-21.3319,-20.4271,-22.7653,-21.6533,-22.0761
0.24,-21.3827,-21.9281,-22.296,-21.3277,-20.444,-22.7738,-21.6871,-22.0846
0.26,-21.3531,-21.8901,-22.2791,-21.3192,-20.4355,-22.7569,-21.6829,-22.0761
0.28,-21.3446,-21.8943,-22.3002,-21.2896,-20.4482,-22.7484,-21.6533,-22.0803
0.3,-21.3446,-21.9112,-22.3044,-21.2643,-20.4482,-22.7738,-21.649,-22.0381
0.32,-21.3192,-21.8774,-22.3087,-21.3066,-20.444,-22.685,-21.6533,-22.0423
0.34,-21.3319,-21.8605,-22.3087,-21.2558,-20.4609,-22.7061,-21.6575,-22.0127
0.36,-21.3192,-21.8647,-22.334,-21.2347,-20.4693,-22.6427,-21.6448,-22.0296
0.38,-21.3742,-21.8013,-22.3256,-21.2685,-20.4524,-22.6638,-21.6321,-22.0634
0.4,-21.3827,-21.797,-22.2791,-21.2178,-20.4567,-22.7061,-21.6321,-22.0973
0.42,-21.3827,-21.7717,-22.2748,-21.2516,-20.4693,-22.7104,-21.6406,-22.0381
0.44,-21.408,-21.7844,-22.296,-21.2474,-20.4693,-22.685,-21.611,-22.0465
