Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
0.46,-21.3742,-21.7844,-22.2579,-21.26,-20.4482,-22.7061,-21.6364,-22.0507
0.48,-21.3827,-21.7844,-22.2368,-21.2431,-20.4397,-22.6638,-21.6448,-22.0423
0.5,-21.3869,-21.759,-22.2368,-21.2304,-20.4355,-22.6554,-21.6237,-21.9831
0.52,-21.3573,-21.6829,-22.2368,-21.26,-20.4271,-22.6808,-21.6068,-22.0085
0.54,-21.3235,-21.6702,-22.2748,-21.1924,-20.4186,-22.6681,-21.5349,-22.0423
0.56,-21.315,-21.6448,-22.2283,-21.1924,-20.4186,-22.6681,-21.5476,-22
0.58,-21.277,-21.5856,-22.2241,-21.2093,-20.4101,-22.63,-21.5433,-22
0.6,-21.1966,-21.5391,-22.1903,-21.1966,-20.3848,-22.592,-21.5137,-21.9619
0.62,-21.1501,-21.4884,-22.1691,-21.1586,-20.3763,-22.5708,-21.5095,-21.9323
0.64,-21.1205,-21.4207,-22.2114,-21.1332,-20.3171,-22.5708,-21.4588,-21.8901
0.66,-21.0613,-21.2939,-22.1734,-21.1374,-20.3425,-22.5666,-21.4123,-21.9112
0.68,-20.9767,-21.1628,-22.1395,-21.1036,-20.3721,-22.5412,-21.3869,-21.9154
0.7,-20.8541,-21.0402,-22.1226,-21.0698,-20.3467,-22.4989,-21.3615,-21.852
0.72,-20.685,-20.8161,-22.093,-21.0317,-20.2791,-22.4609,-21.2896,-21.814
0.74,-20.4313,-20.5201,-22.0507,-20.9894,-20.2579,-22.3932,-21.2008,-21.759
0.76,-20.1099,-20.148,-21.9493,-20.9725,-20.241,-22.3805,-21.129,-21.7125
0.78,-19.6406,-19.7674,-21.8689,-20.8584,-20.203,-22.3467,-21.0106,-21.6195
0.8,-18.9937,-19.277,-21.7548,-20.7738,-20.0973,-22.241,-20.8879,-21.5518
0.82,-18.0761,-18.5666,-21.6068,-20.6342,-20.0507,-22.1311,-20.7357,-21.4292
0.84,-16.9556,-17.7674,-21.4207,-20.4736,-19.8901,-21.9873,-20.5201,-21.2431
0.86,-15.5053,-16.8288,-21.1374,-20.2156,-19.7844,-21.7717,-20.2748,-21.0148
0.88,-13.7252,-15.6237,-20.74,-19.8901,-19.556,-21.5307,-20,-20.7653
0.9,-11.5983,-14.1691,-20.1818,-19.315,-19.2558,-21.1755,-19.5899,-20.3805
0.92,-9.20085,-12.3679,-19.3446,-18.5243,-18.7992,-20.6765,-18.981,-19.8985
0.94,-6.49471,-10.2833,-18.1522,-17.4123,-18.1353,-19.9958,-18.2156,-19.2178
0.96,-3.53488,-7.90275,-16.5159,-15.8901,-17.1247,-19.0148,-17.129,-18.1945
0.98,-0.350951,-5.18393,-14.3425,-13.8605,-15.7167,-17.6406,-15.6364,-16.8118
1,3.03594,-2.14376,-11.5053,-11.2981,-13.7801,-15.7844,-13.6279,-14.9218
1.02,6.60888,1.17125,-8.17336,-8.18605,-11.2051,-13.3615,-11.0359,-12.444
1.04,10.3171,4.7315,-4.27061,-4.63848,-8.01691,-10.3594,-7.80127,-9.31924
1.06,14.1691,8.55814,0.169133,-0.642706,-4.19873,-6.74419,-3.98309,-5.53911
1.08,18.1649,12.6131,5.02326,3.72093,0.194503,-2.54545,0.45666,-1.10359
1.1,22.2495,16.871,10.2706,8.36364,5.07822,2.1945,5.4334,3.93235
1.12,26.6004,21.3446,15.7717,13.1966,10.2875,7.31924,10.7738,9.36152
1.14,30.8076,25.8943,21.6448,18.3848,16.0042,13.0021,16.6554,15.4207
1.16,35.0655,30.5159,27.5645,23.5856,21.8309,18.8795,22.6681,21.6617
1.18,39.518,35.4968,33.9154,29.1416,28.1353,25.2389,29.1924,28.4524
1.2,44.1522,40.6004,40.444,34.8414,34.6554,31.8647,35.9873,35.518
1.2,43.7717,40.2706,40.3129,34.7653,34.5835,31.759,35.8774,35.4292
1.18,38.4228,34.5455,33.5729,28.9345,27.9154,24.9556,28.9175,28.2199
1.16,33.277,29.0317,27.0655,23.277,21.5053,18.4567,22.2664,21.3108
1.14,28.4059,23.8774,20.9852,17.9662,15.5856,12.4778,16.1311,14.9894
1.12,23.4926,18.7738,14.926,12.6765,9.78858,6.68922,10.1522,8.82452
1.1,19.1247,14.2199,9.38266,7.76744,4.50317,1.53066,4.77378,3.30655
1.08,14.3805,9.48414,3.9704,2.98097,-0.45666,-3.28964,-0.274841,-1.8055
1.06,9.98732,5.15011,-0.926004,-1.39535,-4.86258,-7.53488,-4.71036,-6.27061
1.04,5.8055,1.14165,-5.34038,-5.38266,-8.63425,-11.1036,-8.51586,-10.0634
1.02,1.89429,-2.48203,-9.18816,-8.926,-11.7759,-13.9915,-11.6321,-13.1078
1,-1.8055,-5.78436,-12.4989,-11.9662,-14.2875,-16.241,-14.1142,-15.4503
0.98,-5.19662,-8.65962,-15.1628,-14.4609,-16.1522,-17.9323,-16.0127,-17.1882
0.96,-8.26216,-11.1247,-17.1755,-16.4144,-17.4503,-19.1374,-17.3911,-18.4905
0.94,-10.9979,-13.1924,-18.7146,-17.814,-18.334,-20.0169,-18.3636,-19.4461
0.92,-13.3615,-14.8922,-19.7378,-18.8245,-18.9049,-20.6808,-19.0613,-20.1015
0.9,-15.3319,-16.241,-20.4355,-19.5137,-19.3235,-21.1966,-19.5941,-20.5624
0.88,-16.9175,-17.2896,-20.8964,-20.0296,-19.6152,-21.5476,-20.0169,-20.9429
0.86,-18.1734,-18.148,-21.2304,-20.3467,-19.7886,-21.8182,-20.3002,-21.2051
0.84,-19.0867,-18.8245,-21.463,-20.5497,-19.9577,-22.0254,-20.5497,-21.3953
0.82,-19.6913,-19.3573,-21.5983,-20.7104,-20.093,-22.1691,-20.778,-21.5222
0.8,-20.1184,-19.8013,-21.8097,-20.8457,-20.1734,-22.2579,-20.8837,-21.6321
0.78,-20.4482,-20.1438,-21.9535,-20.9006,-20.2199,-22.3552,-21.0148,-21.6998
0.76,-20.7019,-20.4101,-22.0042,-20.9979,-20.2833,-22.4186,-21.1205,-21.7209
0.74,-20.8584,-20.6216,-22.0507,-21.0613,-20.3171,-22.4989,-21.2135,-21.8013
0.72,-20.9937,-20.8161,-22.1311,-21.0782,-20.3129,-22.5412,-21.2727,-21.8562
0.7,-21.0655,-20.9767,-22.186,-21.0909,-20.334,-22.5877,-21.3404,-21.8858
0.68,-21.0867,-21.1205,-22.2199,-21.1205,-20.3594,-22.6512,-21.3911,-21.945
0.66,-21.1374,-21.2178,-22.2156,-21.1416,-20.3763,-22.6047,-21.408,-21.9366
0.64,-21.2516,-21.3108,-22.2072,-21.1501,-20.351,-22.6173,-21.4334,-21.9577
0.62,-21.2939,-21.3996,-22.1818,-21.1501,-20.3932,-22.63,-21.4588,-22.0042
0.6,-21.3192,-21.4799,-22.1649,-21.1543,-20.4144,-22.6638,-21.4757,-21.9704
0.58,-21.3277,-21.5603,-22.2114,-21.1924,-20.4186,-22.6681,-21.5222,-21.9831
0.56,-21.3235,-21.5814,-22.241,-21.2178,-20.4313,-22.6638,-21.5349,-21.9958
0.54,-21.3784,-21.5899,-22.2283,-21.2304,-20.4271,-22.6765,-21.5433,-21.9958
0.52,-21.3742,-21.6321,-22.241,-21.2262,-20.4567,-22.6596,-21.556,-22.0169
0.5,-21.37,-21.6617,-22.2875,-21.222,-20.4651,-22.63,-21.5433,-21.9789
0.48,-21.4123,-21.6575,-22.2833,-21.2643,-20.4524,-22.6977,-21.5941,-21.9958
0.46,-21.4123,-21.666,-22.2495,-21.2516,-20.4567,-22.685,-21.5433,-22.0169
0.44,-21.3869,-21.7167,-22.3087,-21.2812,-20.4609,-22.63,-21.5476,-22.0254
0.42,-21.3784,-21.7294,-22.3002,-21.277,-20.4524,-22.6808,-21.6068,-22.0338
0.4,-21.408,-21.7759,-22.3002,-21.2812,-20.4524,-22.6977,-21.6152,-22.0169
0.38,-21.3911,-21.7801,-22.3256,-21.26,-20.4736,-22.6934,-21.611,-22.0465
0.36,-21.4038,-21.8182,-22.3002,-21.2854,-20.4101,-22.7104,-21.6364,-22.0507
0.34,-21.3953,-21.8266,-22.3087,-21.2431,-20.4271,-22.7357,-21.6998,-22.055
0.32,-21.4123,-21.7928,-22.3087,-21.2854,-20.4609,-22.7484,-21.6913,-22.0803
0.3,-21.4249,-21.8224,-22.3087,-21.2643,-20.4567,-22.7019,-21.7167,-22.0761
0.28,-21.4292,-21.8436,-22.3256,-21.2685,-20.4609,-22.6934,-21.704,-22.0888
0.26,-21.4249,-21.8351,-22.3087,-21.2474,-20.4651,-22.6892,-21.7336,-22.1099
0.24,-21.3911,-21.8732,-22.3256,-21.2431,-20.4567,-22.6934,-21.7378,-22.1057
0.22,-21.4165,-21.9027,-22.3425,-21.2558,-20.4355,-22.6765,-21.7252,-22.1057
0.2,-21.3869,-21.8985,-22.3298,-21.2727,-20.4651,-22.6469,-21.7252,-22.0973
0.18,-21.3996,-21.8689,-22.3383,-21.2643,-20.4736,-22.5962,-21.7294,-22.1015
0.16,-21.4292,-21.8858,-22.3256,-21.2389,-20.4693,-22.6047,-21.7421,-22.0761
0.14,-21.4334,-21.8901,-22.3087,-21.2008,-20.4567,-22.7104,-21.7717,-22.1099
0.12,-21.4292,-21.8858,-22.3383,-21.277,-20.4863,-22.6977,-21.8055,-22.1226
0.1,-21.4334,-21.8858,-22.3636,-21.3108,-20.4989,-22.6765,-21.8182,-22.1184
0.08,-21.4376,-21.9281,-22.3848,-21.3192,-20.4905,-22.7484,-21.8351,-22.1057
0.06,-21.4292,-21.9366,-22.3805,-21.3404,-20.4989,-22.7569,-21.8097,-22.1057
0.04,-21.4292,-21.9323,-22.3721,-21.3446,-20.5074,-22.7696,-21.7844,-22.1226
0.02,-21.4419,-21.9239,-22.3636,-21.3404,-20.4863,-22.7569,-21.7674,-22.1607
0,-21.4503,-21.9323,-22.3636,-21.3531,-20.5032,-22.8076,-21.7801,-22.1649


Parameter,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8
Voc (V),0.982072,1.01293,1.05924,1.06295,1.07911,1.09074,1.07794,1.08438
Jsc (mA/cm^2),-21.4376,-21.9619,-22.3721,-21.2981,-20.5074,-22.8203,-21.7844,-22.1353
FF (%),72.7661,69.3229,77.0177,77.3156,78.3116,76.5655,75.0815,76.417
Vmpp (V),0.78,0.8,0.88,0.88,0.9,0.9,0.9,0.9
Jmpp (mA/cm^2),-19.6406,-19.277,-20.74,-19.8901,-19.2558,-21.1755,-19.5899,-20.3805
Efficiency (%),15.3197,15.4216,18.2512,17.5033,17.3302,19.0579,17.6309,18.3425
Voc (V),1.00976,1.0337,1.06378,1.06638,1.08184,1.09365,1.08109,1.08706
Jsc (mA/cm^2),-21.4503,-21.9323,-22.3636,-21.3531,-20.5032,-22.8076,-21.7801,-22.1649
FF (%),74.5482,70.0131,77.3095,77.4077,78.4109,76.4806,74.8938,76.8059
Vmpp (V),0.82,0.82,0.9,0.88,0.92,0.9,0.9,0.9
Jmpp (mA/cm^2),-19.6913,-19.3573,-20.4355,-20.0296,-18.9049,-21.1966,-19.5941,-20.5624
Efficiency (%),16.1469,15.873,18.392,17.626,17.3925,19.077,17.6347,18.5061
