Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0.9,256.939,-13.6552,-18.5954,399.078,-0.0199521,-15.7901,0,0
0.88,243.819,-15.4549,-19.6728,399.078,-0.0199521,-16.9393,0,0
0.86,231.321,-16.6281,-20.3512,399.078,-0.0199521,-17.8651,0,0
0.84,219.318,-17.3264,-20.838,399.078,-0.0199521,-18.6113,0,0
0.82,207.394,-17.7933,-21.265,399.078,-0.0239425,-19.2338,0,0
0.8,195.954,-18.1325,-21.5603,399.078,-0.0199521,-19.6927,0,0
0.78,184.605,-18.3679,-21.7917,399.078,-0.0199521,-20.0838,0,0
0.76,173.579,-18.5076,-21.9274,399.078,-0.0199521,-20.3711,0,0
0.74,163.164,-18.6313,-22.0471,399.078,-0.0199521,-20.6065,0,0
0.72,152.949,-18.731,-22.1907,399.078,-0.0199521,-20.814,0,0
0.7,142.837,-18.8109,-22.2825,399.078,-0.0199521,-20.9377,0,0
0.68,133.152,-18.8627,-22.3783,399.078,-0.0199521,-21.0734,0,0
0.66,123.743,-18.9306,-22.4342,399.078,-0.0199521,-21.1852,0,0
0.64,114.745,-18.9864,-22.4741,399.078,-0.0199521,-21.2729,0,0
0.62,105.93,-19.0064,-22.518,399.078,-0.0199521,-21.3567,0,0
0.6,97.4741,-19.0543,-22.514,399.078,-0.0239425,-21.4326,0,0
0.58,89.3097,-18.9745,-22.498,399.074,-0.0239425,-21.4884,0,0
0.56,81.4685,-19.0184,-22.4701,399.078,-0.0239425,-21.5044,0,0
0.54,74.1022,-19.0104,-22.4781,399.074,-0.0199521,-21.5124,0,0
0.52,66.9354,-19.0423,-22.5379,399.074,-0.0239425,-21.5722,0,0
0.5,60.2674,-19.0543,-22.5898,399.074,-0.0239425,-21.5642,0,0
0.48,53.9665,-19.0902,-22.5379,399.074,-0.0239425,-21.5722,0,0
0.46,47.8691,-19.0862,-22.5539,399.074,-0.0239425,-21.5443,0,0
0.44,42.2546,-19.0543,-22.6217,399.074,-0.0199521,-21.5323,0,0
0.42,36.9314,-19.0343,-22.5579,399.074,-0.0199521,-21.5403,0,0
0.4,32.0072,-19.0423,-22.5619,399.074,-0.0239425,-21.5722,0,0
0.38,27.3144,-19.0822,-22.6057,399.074,-0.0199521,-21.5882,0,0
0.36,23.0886,-19.1022,-22.6257,399.074,-0.0239425,-21.5682,0,0
0.34,19.1221,-19.1101,-22.6417,399.074,-0.0239425,-21.5603,0,0
0.32,15.3472,-19.1341,-22.6536,399.074,-0.0239425,-21.5483,0,0
0.3,11.8955,-19.154,-22.6377,399.074,-0.0239425,-21.5762,0,0
0.28,8.73105,-19.1341,-22.6137,399.074,-0.0239425,-21.5802,0,0
0.26,5.79409,-19.1061,-22.6457,381.672,-0.0239425,-21.5563,0,0
0.24,3.06464,-19.0742,-22.6776,350.83,-0.0239425,-21.5722,0,0
0.22,0.498803,-19.1141,-22.6856,320.004,-0.0239425,-21.5682,0,0
0.2,-1.84757,-19.0303,-22.6816,289.27,-0.0239425,-21.5403,0,0
0.18,-4.04629,-19.1141,-22.6856,258.583,-0.0239425,-21.5802,0,0
0.16,-6.06145,-19.1381,-22.6696,228.049,-0.0239425,-21.6401,0,0
0.14,-7.98883,-19.1022,-22.6696,197.486,-0.0239425,-21.6361,0,0
0.12,-9.82841,-19.0942,-22.6935,166.995,-0.0239425,-21.6042,0,0
0.1,-11.6081,-19.0583,-22.7374,136.56,-0.0239425,-21.6441,0,0
0.08,-13.2721,-19.0623,-22.6377,106.177,-0.0239425,-21.6361,0,0
0.06,-14.8843,-19.0463,-22.6776,75.9737,-0.0239425,-21.5882,0,0
0.04,-16.4166,-19.1061,-22.7374,45.6744,-0.0239425,-21.6081,0,0
0.02,-17.9449,-19.154,-22.7414,15.3232,-0.0239425,-21.6321,0,0
0,-19.4693,-19.186,-22.7215,-14.9362,-0.0239425,-21.6361,0,0


Parameter,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8
Voc (V),0.245085,0.919757,0.964665,0,Inf,0.997904,0,0
Jsc (mA/cm^2),-20.419,-19.2019,-22.7933,-14.8085,-0.0239425,-21.5802,0,0
FF (%),27.4396,78.7777,77.0717,NaN,0,73.0081,0,0
Vmpp (V),0.14,0.78,0.82,0,1.18,0.8,0,0
Jmpp (mA/cm^2),-9.80846,-17.8372,-20.6664,-14.8085,-0.0239425,-19.6528,0,0
Efficiency (%),1.37318,13.913,16.9464,0,0.0282522,15.7223,0,0
Voc (V),0.215748,0.961809,0.993554,0,Inf,1.01072,0,0
Jsc (mA/cm^2),-19.4693,-19.186,-22.7215,-14.9362,-0.0239425,-21.6361,0,0
FF (%),28.0781,79.0675,77.5367,NaN,0,72.1224,0,0
Vmpp (V),0.12,0.82,0.84,0,1.18,0.82,0,0
Jmpp (mA/cm^2),-9.82841,-17.7933,-20.838,-14.9362,-0.0239425,-19.2338,0,0
Efficiency (%),1.17941,14.5905,17.5039,0,0.0282522,15.7717,0,0
