Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-22.0471,-21.5323,-16.7079,-23.2362,-22.3943,-21.3807,0,0
0.02,-22.067,-19.6488,6.22506,-23.1963,-22.3663,-21.3288,0,0
0.04,-22.075,-17.6137,29.2378,-23.1644,-22.3783,-21.3288,0,0
0.06,-22.0431,-15.5826,52.2626,-23.1644,-22.4262,-21.3408,0,0
0.08,-22.0311,-13.328,75.2993,-23.1604,-22.4342,-21.3727,0,0
0.1,-22.0471,-11.0575,98.4996,-23.1604,-22.4262,-21.3767,0,0
0.12,-22.0152,-8.53951,121.883,-23.1804,-22.3943,-21.3807,0,0
0.14,-22.0391,-5.85794,145.395,-23.1963,-22.4302,-21.3607,0,0
0.16,-22.075,-3.01277,169.038,-23.1724,-22.4262,-21.3368,0,0
0.18,-22.0471,0.0239425,192.865,-23.1684,-22.4342,-21.3248,0,0
0.2,-22.0391,3.02873,217.003,-23.1564,-22.4022,-21.3727,0,0
0.22,-22.0311,6.26895,241.217,-23.1325,-22.4102,-21.3687,0,0
0.24,-21.9872,9.52514,265.575,-23.1125,-22.3863,-21.3488,0,0
0.26,-22.0112,13.1564,290.152,-23.1085,-22.4142,-21.3368,0,0
0.28,-21.9952,16.5243,314.621,-23.1564,-22.3982,-21.3488,0,0
0.3,-21.9713,19.6608,339.621,-23.1325,-22.3743,-21.3288,0,0
0.32,-21.9753,23.8308,364.689,-23.1524,-22.3663,-21.3408,0,0
0.34,-21.9753,27.4342,389.872,-23.1684,-22.3703,-21.3647,0,0
0.36,-21.9234,29.8883,399.074,-23.1445,-22.3903,-21.3528,0,0
0.38,-21.8915,33.1963,399.074,-23.1325,-22.3743,-21.3089,0,0
0.4,-21.8037,36.4645,399.074,-23.1285,-22.3903,-21.3208,0,0
0.42,-21.6879,39.9122,399.074,-23.0926,-22.4182,-21.3248,0,0
0.44,-21.5403,42.51,399.074,-23.0886,-22.4102,-21.2849,0,0
0.46,-21.269,47.5738,399.074,-23.0846,-22.4342,-21.2809,0,0
