Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-20.8779,-21.3528,-21.0774,-22.2386,-21.4366,-19.5331,0,0
0.02,-20.0958,2.08699,2.63368,-20.0838,-20.3113,-19.5132,0,0
0.04,-19.2737,25.5547,26.3927,-17.8691,-19.182,-19.5052,0,0
0.06,-18.3839,49.0303,50.1516,-15.6265,-18.1045,-19.4812,0,0
0.08,-17.482,72.5459,73.8867,-13.2522,-16.9992,-19.4773,0,0
0.1,-16.652,96.0774,97.7733,-10.8699,-15.9058,-19.4533,0,0
0.12,-15.7263,119.693,121.796,-8.46768,-14.7526,-19.4653,0,0
0.14,-14.7247,143.364,145.998,-5.80208,-13.4836,-19.4693,0,0
0.16,-13.7191,166.983,170.231,-3.03272,-12.3743,-19.4733,0,0
0.18,-12.7414,190.734,194.605,-0.0917797,-11.1373,-19.4294,0,0
0.2,-11.648,214.569,218.978,2.88508,-9.82442,-19.4054,0,0
0.22,-10.5267,238.432,243.711,6.10934,-8.63927,-19.4254,0,0
0.24,-9.38547,262.402,268.639,9.18595,-7.36632,-19.4374,0,0
0.26,-8.22027,286.365,293.587,12.5339,-6.18117,-19.3935,0,0
0.28,-6.95132,310.295,318.508,15.9018,-4.9162,-19.3815,0,0
0.3,-5.61453,334.409,343.779,19.6289,-3.5834,-19.3575,0,0
0.32,-4.2937,358.456,369.114,23.3081,-2.21868,-19.3536,0,0
0.34,-2.92099,382.462,394.629,27.1828,-0.702314,-19.3735,0,0
0.36,-1.42857,399.074,399.078,31.1453,0.810056,-19.3695,0,0
0.38,0.0678372,399.078,399.078,35.419,2.18276,-19.3536,0,0
0.4,1.78771,399.074,399.074,39.5571,3.69912,-19.3575,0,0
0.42,3.57941,399.074,399.078,43.9625,5.3751,-19.3416,0,0
0.44,5.55068,399.078,399.074,48.6472,7.00718,-19.3017,0,0
0.46,7.50998,399.074,399.078,53.348,8.76297,-19.2937,0,0
0.48,9.74461,399.074,399.078,58.336,10.9058,-19.2737,0,0
0.5,12.0431,399.078,399.078,63.8228,12.8891,-19.2458,0,0
0.52,14.5611,399.074,399.078,69.4852,15.3512,-19.2139,0,0
0.54,17.3384,399.078,399.078,74.7765,17.7175,-19.1381,0,0
0.56,20.2554,399.078,399.078,81.5922,20.403,-19.0702,0,0
0.58,23.3998,399.078,399.078,88.2761,23.4158,-18.9904,0,0
0.6,26.8476,399.078,399.078,95.5387,26.5962,-18.9306,0,0
0.62,30.6185,399.078,399.078,103.073,30.4589,-18.8188,0,0
0.64,34.9322,399.078,399.078,111.891,34.4932,-18.6712,0,0
0.66,39.3895,399.078,399.078,120.894,38.9984,-18.5116,0,0
0.68,44.2139,399.078,399.078,131.321,43.7071,-18.2961,0,0
0.7,49.8045,399.078,399.078,141.816,49.4773,-18.0646,0,0
0.72,55.9258,399.078,399.078,153.468,55.5148,-17.7614,0,0
0.74,62.518,399.078,399.078,165.81,62.079,-17.3743,0,0
0.76,70.6425,399.078,399.078,179.358,69.8803,-16.9194,0,0
0.78,78.9146,399.078,399.078,193.025,78.3081,-16.3208,0,0
0.8,87.518,399.078,399.078,207.55,87.518,-15.6624,0,0
0.82,97.0591,399.078,399.078,223.46,97.1389,-14.8563,0,0
0.84,107.099,399.078,399.078,240.076,107.546,-13.8069,0,0
0.86,118.041,399.078,399.078,256.832,119.086,-12.4421,0,0
0.88,129.493,399.078,399.078,274.346,131.321,-10.7223,0,0
0.9,141.784,399.078,399.078,292.905,144.553,-8.51157,0,0
0.92,154.453,399.078,399.078,312.853,158.296,-5.77813,0,0
0.94,167.586,399.078,399.078,332.837,172.55,-2.17877,0,0
0.96,182.135,399.078,399.078,353.831,188.743,2.40623,0,0
0.98,196.612,399.078,399.078,375.435,205.686,8.17638,0,0
1,211.528,399.078,399.078,397.171,223.336,15.2674,0,0
1.02,226.588,399.078,399.078,399.078,241.891,23.7989,0,0
1.04,242.235,399.078,399.078,399.082,260.714,33.8508,0,0
1.06,258.34,399.078,399.078,399.082,280.016,45.4429,0,0
1.08,274.812,399.078,399.082,399.082,300.551,58.5834,0,0
1.1,292.163,399.078,399.082,399.082,321.708,73.1604,0,0
1.12,307.31,399.074,399.074,399.074,342.31,88.8867,0,0
1.14,326.441,399.074,399.074,399.074,364.82,106.317,0,0
1.16,346.915,399.074,399.074,399.074,387.063,124.457,0,0
1.18,368.567,399.074,399.074,399.074,399.074,144.549,0,0
1.2,390.208,399.074,399.074,399.074,399.074,165.77,0,0
1.2,390.742,399.074,399.074,399.074,399.074,164.725,0,0
1.18,368.464,399.074,399.074,399.074,398.408,141.64,0,0
1.16,347.151,399.074,399.074,399.074,369.198,120.2,0,0
1.14,326.692,399.074,399.074,399.074,340.734,100.898,0,0
1.12,306.393,399.074,399.074,399.074,313.532,82.5698,0,0
1.1,285.064,399.082,399.082,399.082,286.903,66.5243,0,0
1.08,267.179,399.082,399.082,399.082,262.674,51.7678,0,0
1.06,250.343,399.078,399.082,399.082,240.459,39.0184,0,0
1.04,234.094,399.078,399.082,399.078,221.181,28.1285,0,0
1.02,218.599,399.078,399.078,397.095,202.33,19.0982,0,0
1,204.246,399.078,399.078,372.853,184.33,11.684,0,0
0.98,190.782,399.078,399.078,349.884,167.334,5.78212,0,0
0.96,177.933,399.078,399.078,327.486,154.501,1.17717,0,0
0.94,165.311,399.078,399.078,306.464,138.962,-2.45411,0,0
0.92,153.599,399.078,399.078,286.197,125.906,-5.28332,0,0
0.9,142.558,399.078,399.078,266.752,114.473,-7.50998,0,0
0.88,131.816,399.078,399.078,248.424,105.439,-9.29769,0,0
0.86,121.967,399.078,399.078,231.006,94.8763,-10.8061,0,0
0.84,112.969,399.078,399.078,214.669,85.5507,-12.0271,0,0
0.82,104.118,399.078,399.078,200.12,76.7318,-13.0966,0,0
0.8,95.6265,399.078,399.078,184.701,69.7925,-14.0263,0,0
0.78,87.6417,399.078,399.078,170.91,62.909,-14.8444,0,0
0.76,80.1357,399.078,399.078,157.043,56.241,-15.5267,0,0
0.74,73.1085,399.078,399.078,144.022,48.7709,-16.1053,0,0
0.72,66.5204,399.078,399.078,132.386,43.6393,-16.6441,0,0
0.7,60.0599,399.078,399.078,121.189,38.3639,-17.091,0,0
0.68,54.2618,399.078,399.078,110.846,32.8931,-17.49,0,0
0.66,48.9266,399.078,399.078,101.433,27.6935,-17.7813,0,0
0.64,44.2698,399.078,399.078,92.6776,24.2179,-18.0407,0,0
0.62,39.5331,399.078,399.078,84.5491,20.7063,-18.2721,0,0
0.6,35.1277,399.078,399.078,77.5499,17.5459,-18.4597,0,0
0.58,31.0415,399.078,399.078,70.8978,14.984,-18.6193,0,0
0.56,27.2067,399.074,399.078,64.593,12.7215,-18.767,0,0
0.54,23.6672,399.078,399.078,59.1301,10.2674,-18.8747,0,0
0.52,20.4509,399.074,399.078,53.7949,8.5435,-18.9745,0,0
0.5,17.2865,399.074,399.078,49.0782,6.9154,-19.0543,0,0
0.48,14.3695,399.074,399.078,44.3496,5.33121,-19.1421,0,0
0.46,11.7757,399.074,399.078,40.2394,3.79888,-19.174,0,0
0.44,9.23783,399.074,399.074,36.241,2.31445,-19.1899,0,0
0.42,6.90343,399.074,399.074,32.3304,0.993615,-19.2139,0,0
0.4,4.69274,399.074,399.074,28.6393,-0.291301,-19.2298,0,0
0.38,2.55786,399.074,399.074,25.1317,-1.52434,-19.2618,0,0
0.36,0.714286,399.074,399.074,21.656,-2.84916,-19.3057,0,0
0.34,-1.17318,380.403,392.925,18.6632,-3.87869,-19.3456,0,0
0.32,-2.82522,356.209,367.478,15.5108,-5.17558,-19.3735,0,0
0.3,-4.51317,332.111,342.259,12.4381,-6.27294,-19.3974,0,0
0.28,-6.03352,308.296,317.215,9.43336,-7.39824,-19.4214,0,0
0.26,-7.49002,284.469,292.183,6.55227,-8.30806,-19.4214,0,0
0.24,-8.79888,260.738,267.279,3.78292,-9.40144,-19.4134,0,0
0.22,-10.0998,236.915,242.67,1.10136,-10.411,-19.4334,0,0
0.2,-11.3049,213.196,218.105,-1.54828,-11.4565,-19.4613,0,0
0.18,-12.486,189.469,193.683,-4.05826,-12.4421,-19.4693,0,0
0.16,-13.5156,165.834,169.338,-6.32083,-13.3839,-19.4773,0,0
0.14,-14.5052,142.31,145.283,-8.66321,-14.3416,-19.4573,0,0
0.12,-15.4549,118.827,121.285,-10.834,-15.3272,-19.4773,0,0
0.1,-16.4405,95.2833,97.2706,-12.8771,-16.2769,-19.4812,0,0
0.08,-17.3504,71.8555,73.5834,-14.9122,-17.2147,-19.4693,0,0
0.06,-18.1564,48.5954,49.8603,-16.7917,-18.1604,-19.4693,0,0
0.04,-18.9904,25.2354,26.2291,-18.6552,-19.1181,-19.4374,0,0
0.02,-19.8244,1.92737,2.63368,-20.419,-20.0998,-19.4693,0,0
0,-20.6824,-21.3927,-21.0096,-22.2147,-21.0934,-19.4733,0,0


Parameter,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8
Voc (V),0.379093,0,0,0.180617,0.349288,0.949504,0,0
Jsc (mA/cm^2),-20.8779,-21.3528,-21.0774,-22.2386,-21.4366,-19.5331,0,0
FF (%),29.4341,NaN,NaN,27.062,26.774,69.3314,0,0
Vmpp (V),0.2,0,0,0.1,0.18,0.76,0,0
Jmpp (mA/cm^2),-11.648,-21.3528,-21.0774,-10.8699,-11.1373,-16.9194,0,0
